       Team            P     W    L   D    F   -  A  
   -------------------------------------------------------
    1. Arsenal         38    26   9   3    79  -  36
    2. Liverpool       38    24   8   6    67  -  30
    3. Manchester_U    38    24   5   9    87  -  45
    4. Newcastle       38    21   8   9    74  -  52
    5. Leeds           38    18  12   8    53  -  37
    6. Chelsea         38    17  13   8    66  -  38
    7. West_Ham        38    15   8  15    48  -  57
    8. Aston_Villa     38    12  14  12    46  -  47
    9. Tottenham       38    14   8  16    49  -  53
   10. Blackburn       38    12  10  16    55  -  51
   11. Southampton     38    12   9  17    46  -  54
   12. Middlesbrough   38    12   9  17    35  -  47
   13. Fulham          38    10  14  14    36  -  44
   14. Charlton        38    10  14  14    38  -  49
   15. Everton         38    11  10  17    45  -  57
   16. Bolton          38     9  13  16    44  -  62
   17. Sunderland      38    10  10  18    29  -  51
   18. Ipswich         38     9   9  20    41  -  64
   19. Derby           38     8   6  24    33  -  63
   20. Leicester       38     5  13  20    30  -  64
